lat,lon,operator,start_date
45.6850259305294,13.1384635012213,Telecom Italia Mobile,2019-3-28
46.1499906727573,13.527236607257,Telecom Italia Mobile,2017-10-10
45.8587871834124,12.8837701761282,Telecom Italia Mobile,2019-8-30
45.8168503113231,13.3463697591917,Telecom Italia Mobile,2019-6-5
46.5015402813064,13.5719883265953,Telecom Italia Mobile,2019-5-15
46.4058452792373,13.0158472329094,Telecom Italia Mobile,2019-4-11
45.6879278884637,13.745688964781,Wind-Tre,2019-3-28
46.1125832742401,12.8835148989854,Telecom Italia Mobile,2019-10-18
46.0478872618529,13.436078555151,Iliad Italia,2020-11-19
45.7871026126646,12.9987796168146,Iliad Italia,2020-5-7
45.6877444822829,13.1232472571613,Wind-Tre,2018-10-5
45.688325588282,13.1392311587014,Telecom Italia Mobile,2018-5-18
46.2496108284427,13.0870788248808,Telecom Italia Mobile,2019-9-9
45.8358635004838,13.2065043203438,Wind-Tre,2020-2-18
46.5049268526724,13.5949433316187,Telecom Italia Mobile,2020-4-27
45.652013521744,13.7748935995348,Vodafone Omnitel,2021-3-17
45.8815621556366,13.4373797556256,Wind-Tre,2019-2-12
45.7945601955815,13.4690571334758,Vodafone Omnitel,2015-5-14
45.8284220902841,13.5016562503239,Wind-Tre,2019-2-12
45.6785545303819,13.7545875966861,Wind-Tre,2020-6-3
45.6487649915498,13.7980957367458,Wind-Tre,2021-3-4
46.0109331942214,13.1567365336811,Wind-Tre,2020-4-10
46.1541863943312,12.7267498376267,Wind-Tre,2020-9-30
45.8320578449712,13.4041331019733,Wind-Tre,2019-9-3
46.0413414944993,13.2247799755603,Iliad Italia,2021-11-23
45.8495695788803,12.7077372049075,Iliad Italia,2020-2-27
46.0823971068586,13.2347311276292,Vodafone Omnitel,2021-9-16
46.0315725566598,13.2097350155438,Wind-Tre,2021-8-12
45.6813710227495,13.4060282601714,Telecom Italia Mobile,2017-5-30
45.6403781137545,13.7955522448867,Vodafone Omnitel,2020-12-18
45.8167218958979,13.4509718432361,Wind-Tre,2018-3-1
45.6429186876399,13.8033922005819,Telecom Italia Mobile,2021-5-6
46.1696150959408,12.9820677535143,Telecom Italia Mobile,2020-5-12
45.9472288624668,13.4636092607439,Wind-Tre,2018-3-23
45.8062862446558,13.5446469716525,Wind-Tre,2018-3-16
45.8135295378937,13.5205778432213,Wind-Tre,2018-4-17
46.1337660730751,12.9700864678195,Telecom Italia Mobile,2020-8-12
46.0987188620564,13.2138577240853,Iliad Italia,2020-4-14
45.8550620667128,13.4342632601635,Wind-Tre,2018-2-23
46.411801313277,13.0319777932714,Wind-Tre,2019-1-11
45.8449715907155,13.5375555646321,Telecom Italia Mobile,2019-9-23
45.9786623628193,12.5788533945245,Iliad Italia,2020-4-3
45.7945601955815,13.4690571334758,Telecom Italia Mobile,2019-10-17
45.9170911139148,13.603667232863,Wind-Tre,2019-2-12
45.9755394969318,12.5252472639625,Iliad Italia,2020-3-24
46.0505705905654,13.2115111497029,Telecom Italia Mobile,2021-4-30
46.0946831471871,13.2448734349351,Wind-Tre,2021-6-28
46.0353200540956,13.2988946679905,Wind-Tre,2021-8-26
46.0690263853912,13.2459082773038,Vodafone Omnitel,2021-9-14
45.9263754163704,12.6434732936542,Vodafone Omnitel,2021-6-14
45.9592918121423,12.5171761529805,Iliad Italia,2020-5-7
45.8759715316207,13.492885240945,Wind-Tre,2019-4-16
46.0436230757808,13.222173589478,Telecom Italia Mobile,2021-7-16
45.9439060901142,12.6078449027036,Telecom Italia Mobile,2019-9-5
45.5930677959819,13.8028946787692,Wind-Tre,2019-4-4
45.8475268114717,12.6237001325211,Telecom Italia Mobile,2019-9-13
46.0579052880027,13.241386666281,Vodafone Omnitel,2021-4-2
45.857167281046,12.934519652979,Vodafone Omnitel,2020-6-16
46.0534290055827,13.2568074340458,Wind-Tre,2021-4-2
46.0360159791193,13.2435327220596,Telecom Italia Mobile,2017-9-29
46.015890573592,13.337395924643,Wind-Tre,2020-5-7
46.5072503781389,13.44211435948,Vodafone Omnitel,2021-2-9
45.9817071691015,12.4768929920476,Iliad Italia,2020-4-3
45.8210860090202,13.4715920861634,Wind-Tre,2020-10-28
46.0893973940155,13.1414736582131,Telecom Italia Mobile,2021-4-20
45.9671739682525,12.6182786780651,Iliad Italia,2019-12-30
45.959333208332,12.6517327304935,Iliad Italia,2020-4-27
45.8100831959615,13.0009732619694,Iliad Italia,2022-1-17
46.1750935238648,12.7215179815858,Wind-Tre,2019-8-9
45.9868298008498,12.9340253574096,Vodafone Omnitel,2014-7-28
45.6584114767278,13.0965406121272,Vodafone Omnitel,2019-7-24
46.0921658294237,13.4235996913543,Wind-Tre,2020-12-17
45.7979902250935,13.4070454780063,Iliad Italia,2020-4-28
46.2793711864882,13.139885167408,Wind-Tre,2021-8-11
45.6386906591834,13.8655433838127,Vodafone Omnitel,2020-12-9
45.9000577122742,12.7296453347855,Wind-Tre,2020-3-31
46.0218945827642,12.8472447726028,Wind-Tre,2019-4-23
45.9474084298426,12.7534460755806,Wind-Tre,2019-4-16
46.0458212912275,13.4433001066355,Wind-Tre,2018-11-9
46.1403854004633,13.3506278696028,Wind-Tre,2017-5-19
46.1698713314766,12.9813899246707,Wind-Tre,2019-3-19
46.415365375292,12.801243563645,Wind-Tre,2019-2-28
45.9041301432646,13.29508458848,Wind-Tre,2021-2-9
45.9185227503166,12.7051518388481,Wind-Tre,2019-4-4
45.6451236406824,13.7707371605771,Iliad Italia,2018-7-16
46.048555844815,12.8762360973845,Telecom Italia Mobile,2019-10-9
46.3869040866336,13.2493231002168,Wind-Tre,2019-3-11
45.9467689041867,13.0518260724838,Wind-Tre,2019-3-19
46.3976392454936,12.7411741342793,Wind-Tre,2019-3-20
46.0943501539468,13.2929382615923,Iliad Italia,2021-5-27
46.3901519974908,13.4773683825653,Wind-Tre,2019-4-24
45.9533370433651,13.6344995805142,Wind-Tre,2021-10-19
46.3962302698096,13.0150499199862,Wind-Tre,2018-12-28
45.8297435502528,13.1085631870601,Wind-Tre,2018-11-20
45.8783414426953,13.052982883489,Wind-Tre,2019-2-28
46.0613692462879,13.2420691915372,Telecom Italia Mobile,2021-4-12
46.2868795012335,13.1242563933463,Wind-Tre,2021-2-22
45.9526437451453,12.8447417775698,Iliad Italia,2020-7-22
45.8211454998799,13.3521642466224,Iliad Italia,2020-3-23
45.8856415457699,12.9955711183774,Wind-Tre,2019-4-23
46.1523855810309,12.7932729883434,Telecom Italia Mobile,2019-9-25
45.6599862695483,13.8297996816017,Telecom Italia Mobile,2022-1-17
46.2250161628348,13.1277891893803,Wind-Tre,2019-4-8
46.4060734841755,13.3091424785774,Wind-Tre,2019-3-27
45.9676722892015,12.9890608346225,Wind-Tre,2019-4-8
46.5059262258685,13.3079702853189,Wind-Tre,2019-5-2
46.0189720556568,13.1528131900792,Wind-Tre,2020-4-27
46.2249269214185,13.1747900798487,Wind-Tre,2019-4-23
45.6584114767278,13.0965406121272,Telecom Italia Mobile,2019-7-24
46.1683327528282,13.0054010668372,Wind-Tre,2018-11-6
46.0194913183299,13.2832132093508,Wind-Tre,2019-12-12
46.0018741276528,12.8604850423312,Telecom Italia Mobile,2019-3-26
46.1816445435395,13.054966974287,Wind-Tre,2019-4-19
45.9709686554561,12.9903084391512,Wind-Tre,2019-3-22
45.9632494518295,12.7035240952275,Telecom Italia Mobile,2019-10-24
45.8874841983257,13.2929029923892,Iliad Italia,2020-8-5
46.2160739502014,13.1201921640455,Wind-Tre,2019-8-21
46.3905340244777,13.2226878249298,Wind-Tre,2019-2-28
46.4980007910886,13.4055132541146,Wind-Tre,2019-3-19
46.4820851925855,13.0966694125614,Wind-Tre,2018-12-5
45.9540418522376,12.983549872755,Wind-Tre,2019-1-11
45.9526792521756,12.6889409077459,Wind-Tre,2019-9-5
46.4057963263393,13.0158268911402,Wind-Tre,2019-3-20
46.4628186161508,13.2941301818977,Wind-Tre,2018-11-15
46.4201330035079,13.5720610222517,Wind-Tre,2019-3-4
