X,Y,OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
13.1382384088336,45.6849998545509,TELECOM ITALIA MOBILE,2019 March 28,REALIZZATO,LIGNANO SABBIADORO,UD,355024.2,5060735.4
13.5270113115341,46.1499645560776,TELECOM ITALIA MOBILE,2017 October 10,REALIZZATO,SAN PIETRO AL NATISONE,UD,386252.09,5111764.35
12.8835452280003,45.8587610970851,TELECOM ITALIA MOBILE,2019 August 30,REALIZZATO,CORDOVADO,PN,335702.6,5080533.2
13.3461445560283,45.816824222513,TELECOM ITALIA MOBILE,2019 June 05,REALIZZATO,CERVIGNANO DEL FRIULI,UD,371516.7,5075025.7
13.5717630130855,46.5015141372745,TELECOM ITALIA MOBILE,2019 May 15,REALIZZATO,TARVISIO,UD,390412.3,5150762.5
13.0156222271869,46.4058191488185,TELECOM ITALIA MOBILE,2019 April 11,REALIZZATO,TOLMEZZO,UD,347473.7,5141051.7
13.4926599585803,45.8759454366284,ILIAD ITALIA,2020 March 10,DA REALIZZARE,SAGRADO,GO,383023,5081369
13.2445730436638,46.0546644965914,ILIAD ITALIA,2020 November 03,DA REALIZZARE,UDINE,UD,364207.9,5101619.1
12.9985546035784,45.787076530405,ILIAD ITALIA,2020 May 07,REALIZZATO,LATISANA,UD,344430.9,5072338.6
13.7787695386001,45.6455731872987,TELECOM ITALIA MOBILE,2017 June 26,REALIZZATO,TRIESTE,TS,404835.5,5055394.7
13.1390060659766,45.6882995120326,TELECOM ITALIA MOBILE,2018 May 18,REALIZZATO,LIGNANO SABBIADORO,UD,355092.5,5061100.6
13.0868537753431,46.2495847090478,TELECOM ITALIA MOBILE,2019 September 09,REALIZZATO,OSOPPO,UD,352529.3,5123557.5
13.2062791943968,45.8358374117752,WIND-TRE,2020 February 18,REALIZZATO,SAN GIORGIO DI NOGARO,UD,360698.5,5077372.6
13.3028484063878,46.0834820873822,WIND-TRE,2020 March 06,REALIZZATO,REMANZACCO,UD,368784.1,5104723.1
13.4371545038876,45.8815360607705,WIND-TRE,2019 February 12,REALIZZATO,ROMANS D'ISONZO,GO,378727.7,5082073
13.4688318625174,45.7945341072332,VODAFONE OMNITEL,2015 May 14,REALIZZATO,SAN CANZIAN D'ISONZO,GO,381000.4,5072359.2
13.501430962171,45.8283959989415,WIND-TRE,2019 February 12,REALIZZATO,RONCHI DEI LEGIONARI,GO,383604.5,5076073.3
13.7543621671417,45.6785284485868,WIND-TRE,2020 June 03,REALIZZATO,TRIESTE,TS,402990.5,5059085.3
12.7532212017296,45.9473823384656,ILIAD ITALIA,2020 March 06,DA REALIZZARE,ZOPPOLA,PN,325863.3,5090655.8
13.1565114394524,46.0109070924161,WIND-TRE,2020 April 10,REALIZZATO,CAMPOFORMIDO,UD,357283.3,5096911.5
12.8408116658307,45.9398090793809,ILIAD ITALIA,2020 March 06,DA REALIZZARE,CASARSA DELLA DELIZIA,PN,332629.1,5089626.7
13.7786696658681,45.625661088424,VODAFONE OMNITEL,2020 November 06,DA REALIZZARE,TRIESTE,TS,404794,5053182.6
13.8055904998215,45.6132507710646,TELECOM ITALIA MOBILE,2020 October 21,REALIZZATO,TRIESTE,TS,406872,5051772.2
12.9303842861826,45.8632368095583,ILIAD ITALIA,2020 March 11,DA REALIZZARE,MORSANO AL TAGLIAMENTO,PN,339351.5,5080935.1
12.7075123531594,45.8495434958483,ILIAD ITALIA,2020 February 27,REALIZZATO,CHIONS,PN,322008.2,5079886.6
13.2372642949988,46.0566004702847,TELECOM ITALIA MOBILE,2019 October 11,DA REALIZZARE,UDINE,UD,363647.3,5101846.7
13.2291719534367,46.0758261897059,ILIAD ITALIA,2019 October 11,DA REALIZZARE,UDINE,UD,363068.9,5103996.7
13.1080328386711,45.6677823667533,TELECOM ITALIA MOBILE,2020 March 17,DA REALIZZARE,LIGNANO SABBIADORO,UD,352626.9,5058877.7
13.4058030213505,45.6813449440036,TELECOM ITALIA MOBILE,2017 May 30,REALIZZATO,GRADO,GO,375851.3,5059879.6
12.974096227935,45.9571565830948,ILIAD ITALIA,2020 March 12,DA REALIZZARE,CODROIPO,UD,343009.6,5091282.8
12.6364376934903,46.1429258167489,TELECOM ITALIA MOBILE,2019 October 18,DA REALIZZARE,MONTEREALE VALCELLINA,PN,317457.7,5112643.4
13.450746582663,45.816695805988,WIND-TRE,2018 March 01,REALIZZATO,SAN CANZIAN D'ISONZO,GO,379642.6,5074848.5
13.1468783422804,45.6948793905244,TELECOM ITALIA MOBILE,2019 May 15,REALIZZATO,LIGNANO SABBIADORO,UD,355722.4,5061817.4
13.4965467589013,45.8873941409659,ILIAD ITALIA,2020 March 12,DA REALIZZARE,GRADISCA D'ISONZO,GO,383348.6,5082635.3
13.5217327585556,45.8070677962429,WIND-TRE,2018 May 08,REALIZZATO,MONFALCONE,GO,385137.5,5073674.3
13.4633839959612,45.9472027621882,WIND-TRE,2018 March 23,REALIZZATO,CORMONS,GO,380903.6,5089329.3
13.5444216594606,45.8062601546356,WIND-TRE,2018 March 16,REALIZZATO,MONFALCONE,GO,386898.8,5073552.2
13.5203525443817,45.8135034475369,WIND-TRE,2018 April 17,REALIZZATO,MONFALCONE,GO,385043.5,5074391.3
13.7786696658681,45.625661088424,TELECOM ITALIA MOBILE,2020 November 06,DA REALIZZARE,TRIESTE,TS,404794,5053182.6
12.9698614799188,46.1337399641436,TELECOM ITALIA MOBILE,2020 August 12,REALIZZATO,SAN DANIELE DEL FRIULI,UD,343182.1,5110910.5
13.2136326005116,46.0986927527432,ILIAD ITALIA,2020 April 14,REALIZZATO,TAVAGNACCO,UD,361924.4,5106564.2
13.4340380095748,45.8550359739598,WIND-TRE,2018 February 23,REALIZZATO,VILLESSE,GO,378428.1,5079133.5
13.5373302570985,45.8449454977188,TELECOM ITALIA MOBILE,2019 September 23,REALIZZATO,DOBERDO' DEL LAGO,GO,386426.5,5077860.3
12.7148140910063,45.9463764844679,ALTRO GESTORE,2019 October 24,DA REALIZZARE,FIUME VENETO,PN,322883.4,5090628.7
12.5786286177815,45.9786362717103,ILIAD ITALIA,2020 April 03,REALIZZATO,FONTANAFREDDA,PN,312437.3,5094524.6
13.4688318625174,45.7945341072332,TELECOM ITALIA MOBILE,2019 October 17,REALIZZATO,SAN CANZIAN D'ISONZO,GO,381000.4,5072359.2
13.6034418903866,45.9170650146316,WIND-TRE,2019 February 12,REALIZZATO,GORIZIA,GO,391700.15,5085781.12
